date,open,high,low,close,volume
2025-10-16,4198.80,4307.00,4196.60,4280.20,4705
2025-10-17,4354.70,4358.00,4182.20,4189.90,4060
2025-10-20,4244.10,4356.60,4214.60,4336.40,1750
2025-10-21,4332.70,4332.70,4087.70,4087.70,2943
2025-10-22,4109.70,4148.50,4006.00,4044.40,1237
2025-10-23,4078.40,4136.80,4070.70,4125.50,354
2025-10-24,4117.50,4120.60,4074.90,4118.40,123
2025-10-27,4060.00,4078.60,3971.30,4001.90,220
2025-10-28,3929.70,3966.20,3923.60,3966.20,219
2025-10-29,3983.70,3983.70,3983.70,3983.70,1344
2025-10-30,3960.00,4027.20,3913.70,4001.30,935
2025-10-31,4034.50,4034.50,3976.60,3982.20,559
2025-11-03,3976.20,4020.00,3959.00,4000.30,0
2025-11-04,3994.20,3995.40,3927.40,3947.70,657
2025-11-05,3929.90,3983.50,3929.90,3980.30,559
2025-11-06,4004.00,4007.50,3979.90,3979.90,650
2025-11-07,3980.80,3999.40,3980.80,3999.40,245
2025-11-10,4060.00,4111.80,4060.00,4111.80,189
2025-11-11,4140.10,4140.10,4106.80,4106.80,569
2025-11-12,4115.60,4204.40,4102.90,4204.40,396
2025-11-13,4228.70,4228.70,4163.70,4186.90,167
2025-11-14,4197.70,4197.90,4047.00,4087.60,483
2025-11-17,4070.00,4099.50,4019.40,4068.30,1552
2025-11-18,4037.40,4063.40,4035.60,4061.30,1375
2025-11-19,4086.10,4122.70,4072.00,4077.70,486
2025-11-20,4045.00,4090.40,4040.20,4056.50,202
2025-11-21,4031.80,4085.20,4031.80,4076.70,171
2025-11-24,4060.50,4091.90,4060.50,4091.90,591
2025-11-25,4139.20,4139.20,4139.20,4139.20,132704
2025-11-26,4128.60,4171.00,4127.50,4165.20,25088
2025-11-28,4163.40,4223.90,4140.00,4218.30,3615
2025-12-01,4218.50,4262.10,4214.90,4239.30,913
2025-12-02,4230.50,4230.50,4167.00,4186.60,366
2025-12-03,4215.70,4234.10,4195.70,4199.30,1897
2025-12-04,4211.00,4211.80,4175.00,4211.80,616
2025-12-05,4204.10,4255.70,4194.50,4212.90,533
2025-12-08,4205.50,4215.80,4175.50,4187.20,318
2025-12-09,4190.70,4219.70,4177.70,4206.70,660
2025-12-10,4209.00,4234.50,4183.60,4196.40,692
2025-12-11,4224.00,4286.90,4214.30,4285.50,528
2025-12-12,4276.40,4355.00,4260.00,4300.10,1531
2025-12-15,4308.30,4349.20,4292.90,4306.70,854
2025-12-16,4270.50,4321.40,4270.50,4304.50,1796
2025-12-17,4308.50,4351.40,4308.50,4347.50,2169
2025-12-18,4331.00,4348.10,4328.20,4339.50,705
2025-12-19,4350.10,4361.40,4350.10,4361.40,1065
2025-12-22,4371.10,4447.60,4371.10,4444.60,449
2025-12-23,4503.30,4503.80,4450.40,4482.80,694
2025-12-24,4500.70,4503.40,4468.40,4480.60,500
